,0
2016-01,14.028201634087353
2016-02,22.67330470006017
2016-03,43.893793835682686
2016-04,112.03022720594117
2016-05,270.34633971497647
2016-06,536.6715989840534
2016-07,637.4746657559592
2016-08,524.3749812075996
2016-09,418.8407746603925
2016-10,140.4268841518711
2016-11,16.329664044537665
2016-12,6.1270200935017884
2017-01,14.052117060409334
2017-02,22.939053349749173
2017-03,43.17060723890986
2017-04,110.74994531874594
2017-05,269.16024657748005
2017-06,537.6606457789975
2017-07,645.943703347354
2017-08,520.8318277311084
2017-09,421.0597951954061
2017-10,143.43953219947915
2017-11,16.07234310653786
2017-12,6.029122855148668
2018-01,14.054676207537057
2018-02,22.94999860984183
2018-03,43.14725893678484
2018-04,110.70727847976866
2018-05,269.12084594603203
2018-06,537.6966730351409
2018-07,646.2391161706349
2018-08,520.7106907112819
2018-09,421.1384745676836
2018-10,143.54573239739025
2018-11,16.065149747834457
2018-12,6.027457873133594
2019-01,14.05649477747139
2019-02,22.952107987175086
2019-03,43.1481791074296
2019-04,110.70752873653599
2019-05,269.12120946591904
2019-06,537.6996521873104
2019-07,646.2510901029145
2019-08,520.7082198373799
2019-09,421.14293277826846
2019-10,143.5511449547329
2019-11,16.066630127612584
2019-12,6.029129961853843
2020-01,14.058287666219693
2020-02,22.953910960326457
2020-03,43.14994084215438
2020-04,110.7092672404847
2020-05,269.1229518975221
2020-06,537.7014853218678
2020-07,646.2532351517783
2020-08,520.7098639799797
2020-09,421.1448172025153
2020-10,143.55306247310807
2020-11,16.06841128885374
2020-12,6.030917771035354
