,0
2016-01,19.84337011277808
2016-02,29.591622907104394
2016-03,36.39674660052352
2016-04,53.44002289129078
2016-05,114.17206301578811
2016-06,254.722808658615
2016-07,340.98580438136344
2016-08,317.73885933271697
2016-09,251.37421557997754
2016-10,121.35502739902583
2016-11,28.68688281802394
2016-12,13.254479471133415
2017-01,20.431275155163792
2017-02,30.286233944957935
2017-03,36.918460730479126
2017-04,52.76265940501579
2017-05,115.59681668316038
2017-06,255.02476645305933
2017-07,334.428721057817
2017-08,319.17658643581154
2017-09,253.5040653087305
2017-10,123.51419640657005
2017-11,29.420661253808888
2017-12,13.543427493170531
2018-01,20.574484851027815
2018-02,30.431886265713274
2018-03,37.060155239032696
2018-04,52.87690562615879
2018-05,115.75918282166569
2018-06,255.16143048237137
2018-07,334.40837362313437
2018-08,319.33924955141623
2018-09,253.68257191978142
2018-10,123.6933741701636
2018-11,29.567210162058636
2018-12,13.67979371359404
2019-01,20.707514950912177
2019-02,30.564972280134903
2019-03,37.193150654509466
2019-04,53.009272718271355
2019-05,115.89265143490087
2019-06,255.29431074430164
2019-07,334.53765970923143
2019-08,319.47272496280414
2019-09,253.81641000728868
2019-10,123.8272276211366
2019-11,29.700316700415446
2019-12,13.812667158330974
2020-01,20.84031202795268
2020-02,30.697770637124485
2020-03,37.32594693758337
2020-04,53.14205461828943
2020-05,116.02545855002425
2020-06,255.42710439137633
2020-07,334.6703710814225
2020-08,319.6055322335452
2020-09,253.9492255801097
2020-10,123.96004354564525
2020-11,29.833115527221768
2020-12,13.945460649352036
