ds,yhat
1901-01-01,48.81239408659374
1901-02-01,32.44530493177896
1901-03-01,34.31129542121312
1901-04-01,73.65550312945803
1901-05-01,368.59916009789106
1901-06-01,476.2681819384023
1901-07-01,399.6558838221892
1901-08-01,403.73105778157026
1901-09-01,442.75691144805455
1901-10-01,291.75679790932827
1901-11-01,241.578288133512
1901-12-01,157.77106453721652
1902-01-01,53.8065317289074
1902-02-01,31.903959797043683
1902-03-01,36.7317420684206
1902-04-01,78.0531661815993
1902-05-01,354.0091606702782
1902-06-01,474.40658648109866
1902-07-01,407.2659101983417
1902-08-01,404.04705749198274
1902-09-01,443.91880341220906
1902-10-01,296.1678881482275
1902-11-01,234.34905034965135
1902-12-01,156.25169899623296
1903-01-01,58.89719524903319
1903-02-01,31.37387133613123
1903-03-01,39.149290889375465
1903-04-01,82.25937209931158
1903-05-01,339.3305542180303
1903-06-01,472.7894820221535
1903-07-01,414.9729901341405
1903-08-01,404.3059941404752
1903-09-01,445.02586324202423
1903-10-01,300.446496409368
1903-11-01,227.03954923287745
1903-12-01,154.90196970540765
1904-01-01,64.07995373287599
1904-02-01,30.85345225461154
1904-03-01,31.85359277276015
1904-04-01,69.03174334620635
1904-05-01,383.04759576916865
1904-06-01,478.33127558591747
1904-07-01,392.1123723960852
1904-08-01,403.3227271544895
1904-09-01,441.50368625709064
1904-10-01,287.1761851078578
1904-11-01,248.67945277657125
1904-12-01,159.41756333555855
1905-01-01,48.77359401590007
1905-02-01,32.40650484946681
1905-03-01,34.272495328483245
1905-04-01,73.61670302505345
1905-05-01,368.5603599820428
1905-06-01,476.2293818111229
1905-07-01,399.6170836836003
1905-08-01,403.69225763132
1905-09-01,442.71811128628065
1905-10-01,291.71799773630846
1905-11-01,241.53948794874836
1905-12-01,157.73226434124
1906-01-01,53.767731521289846
1906-02-01,31.865159577835044
1906-03-01,36.69294183870397
1906-04-01,78.01436594035363
1906-05-01,353.97036041775306
1906-06-01,474.36778621684743
1906-07-01,407.22710992281003
1906-08-01,404.0082572048807
1906-09-01,443.88000311354324
1906-10-01,296.1290878382149
1906-11-01,234.31025002811933
1906-12-01,156.21289866337196
1907-01-01,58.85839490463667
1907-02-01,31.335070979895335
1907-03-01,39.11049052271974
1907-04-01,82.2205717210131
1907-05-01,339.2917538285624
1907-06-01,472.7506816210199
1907-07-01,414.93418972178574
1907-08-01,404.26719371650233
1907-09-01,444.98706280635133
1907-10-01,300.40769596241836
1907-11-01,227.0007487742576
1907-12-01,154.86316923560972
1908-01-01,64.0411532496388
1908-02-01,30.81465175807341
1908-03-01,31.814792263589993
1908-04-01,68.99294282366643
1908-05-01,383.0087952337292
1908-06-01,478.29247503701026
1908-07-01,392.0735718341805
1908-08-01,403.2839265909305
1908-09-01,441.4648856917003
1908-10-01,287.1373845408571
1908-11-01,248.6406522077058
1908-12-01,159.37876276495427
1910-01-01,53.72893092817125
1910-02-01,31.826358982792215
1910-03-01,36.654141242189496
1910-04-01,77.97556534203844
1910-05-01,353.93155981769826
1910-06-01,474.32898561510353
1910-07-01,407.188309319375
1910-08-01,403.96945659956566
1910-09-01,443.841202506517
1910-10-01,296.09028722942253
1910-11-01,234.27144941762512
1910-12-01,156.1740980511605
1911-01-01,58.81959429062792
1911-02-01,31.29627036416821
1911-03-01,39.0716899053686
1911-04-01,82.18177110189487
1911-05-01,339.25295320765684
1911-06-01,472.7118809984281
1911-07-01,414.8953890974433
1911-08-01,404.22839309049516
1911-09-01,444.9482621785343
1911-10-01,300.368895332958
1911-11-01,226.96194814293585
1911-12-01,154.82436860255442
1912-01-01,64.00235261658602
1912-02-01,30.77585112505278
1912-03-01,31.775991630589857
1912-04-01,68.95414219061959
1912-05-01,382.96999460055025
1912-06-01,478.25367440401794
1912-07-01,392.0347711946911
1912-08-01,403.2451259448013
1912-09-01,441.4260850389491
1912-10-01,287.09858388163207
1912-11-01,248.60185154186888
1912-12-01,159.33996209264632
1913-01-01,48.69599276461571
1913-02-01,32.32890358981078
1913-03-01,34.194894061164916
1913-04-01,73.53910174932722
1913-05-01,368.48275869829195
1913-06-01,476.1517805188156
1913-07-01,399.53948238315104
1913-08-01,403.61465632255204
1913-09-01,442.64050996900363
1913-10-01,291.6403964108644
1913-11-01,241.46188661494776
1913-12-01,157.6546629992663
1914-01-01,53.69013017086817
1914-02-01,31.787558218952
1914-03-01,36.61534047227482
1914-04-01,77.9367645654429
1914-05-01,353.89275903480103
1914-06-01,474.29018482545996
1914-07-01,407.1495085232625
1914-08-01,403.9306557968904
1914-09-01,443.8024016971093
1914-10-01,296.0514864135704
1914-11-01,234.23264859514336
1914-12-01,156.13529722226266
1915-01-01,58.78079345502471
1915-02-01,31.257469521932023
1915-03-01,39.03288905717844
1915-04-01,82.14297024704152
1915-05-01,339.21415234631735
1915-06-01,472.6730801304682
1915-07-01,414.85658822302094
1915-08-01,404.1895922093796
1915-09-01,444.9094612908556
1915-10-01,300.3300944388079
1915-11-01,226.92314724216226
1915-12-01,154.78556774622348
1916-01-01,63.96355180614506
1916-02-01,30.737050360465588
1916-03-01,31.737190908918052
1916-04-01,68.9153415149074
1916-05-01,382.9311939692341
1916-06-01,478.21487381858503
1916-07-01,391.9959706601721
1916-08-01,403.20632546277614
1916-09-01,441.3872846094341
1916-10-01,287.0597835029733
1916-11-01,248.5630512157851
1916-12-01,159.30116181742642
1917-01-01,48.657192541905005
1917-02-01,32.29010341968643
1917-03-01,34.15609393850076
1917-04-01,73.50030167918027
1917-05-01,368.4439586789176
1917-06-01,476.1129805521134
