,0
2016-01,87.20264939077941
2016-02,23.587945344390718
2016-03,44.94504769221781
2016-04,87.17233917021542
2016-05,370.55781251975077
2016-06,443.84768697478165
2016-07,418.1046583450239
2016-08,407.46918768339975
2016-09,499.1186372603023
2016-10,302.602234975119
2016-11,232.89339662882094
2016-12,129.9029476622079
2017-01,83.89633042604132
2017-02,24.789621404867027
2017-03,48.169890717266064
2017-04,83.20369783883008
2017-05,373.5378693491543
2017-06,451.38258915903094
2017-07,425.00092242521475
2017-08,401.83477398649694
2017-09,497.230163663816
2017-10,306.4999757967894
2017-11,232.61447607985482
2017-12,129.8881867674051
2018-01,83.62517954936565
2018-02,24.867733640868572
2018-03,48.4047505955253
2018-04,82.88123262616335
2018-05,373.7537640803464
2018-06,451.95137679660337
2018-07,425.5202306976038
2018-08,401.38325076952054
2018-09,497.068862306459
2018-10,306.78696935701754
2018-11,232.57787705784912
2018-12,129.87205387780205
2019-01,83.58918249340323
2019-02,24.858796224767005
2019-03,48.407957418521946
2019-04,82.8412599214673
2019-05,373.7555015524986
2019-06,451.98045513187424
2019-07,425.5454755510272
2019-08,401.33327911849716
2019-09,497.04137599303925
2019-10,306.7942153087039
2019-11,232.56005222931546
2019-12,129.85581469101547
2020-01,83.57140430301646
2020-02,24.843114517183096
2020-03,48.393216602559434
2020-04,82.82317371222872
2020-05,373.74064689655916
2020-06,451.96771874689625
2020-07,425.5324421617724
2020-08,401.3144182271442
2020-09,497.02425718413264
2020-10,306.77978742979013
2020-11,232.54368195723407
2020-12,129.8395672687085
