,0
2016-01,8.786560685879175
2016-02,10.066825012391691
2016-03,10.539437856834816
2016-04,7.765087227563221
2016-05,9.71948933195686
2016-06,172.48988717241886
2016-07,325.7640564894833
2016-08,284.1473162564156
2016-09,173.51694521271165
2016-10,49.8822029796163
2016-11,13.581024799641039
2016-12,6.0114020853942005
2017-01,8.673460596354357
2017-02,10.087060663688343
2017-03,9.990075240167096
2017-04,7.545180571009533
2017-05,9.66005446354785
2017-06,171.69544926815686
2017-07,327.48698334435045
2017-08,284.0723295887329
2017-09,173.54211987358232
2017-10,50.25023747441274
2017-11,13.676548055044076
2017-12,6.034665123051956
2018-01,8.641623684769135
2018-02,10.056463821282708
2018-03,9.954180933986937
2018-04,7.51235032087056
2018-05,9.62871665735111
2018-06,171.65727567580066
2018-07,327.47222212764353
2018-08,284.04084714534537
2018-09,173.5115689656988
2018-10,50.22287528330059
2018-11,13.646651413776393
2018-12,6.004096436401809
2019-01,8.610542549255447
2019-02,10.025394218847556
2019-03,9.923062063279703
2019-04,7.481259946959744
2019-05,9.597640163692681
2019-06,171.62613560693217
2019-07,327.44129980208436
2019-08,284.00976930651035
2019-09,173.4804997904709
2019-10,50.191835764257604
2019-11,13.615588323457574
2019-12,5.973027095825095
2020-01,8.579468442724474
2020-02,9.99432021957826
2020-03,9.891987605798189
2020-04,7.450185754508435
2020-05,9.56656610033259
2020-06,171.5950609523003
2020-07,327.4102271725417
2020-08,283.97869523063963
2020-09,173.44942579517476
2020-10,50.160762044774394
2020-11,13.584514384753218
2020-12,5.94195309899115
