ds,yhat
1901-01-01,27.411610887575677
1901-02-01,26.53909619826524
1901-03-01,52.430721370328115
1901-04-01,126.71369756898827
1901-05-01,247.79629514412687
1901-06-01,672.8379562134891
1901-07-01,718.9287533926674
1901-08-01,431.2327559231218
1901-09-01,257.93790401624614
1901-10-01,313.09491189122247
1901-11-01,181.28917190924656
1901-12-01,54.88244102381222
1902-01-01,27.45381321347884
1902-02-01,29.39390464012061
1902-03-01,52.559016507462616
1902-04-01,125.84241381556788
1902-05-01,243.40349240098024
1902-06-01,667.2010426212602
1902-07-01,714.0543821901896
1902-08-01,443.38088470163257
1902-09-01,264.5450477629778
1902-10-01,306.6910050181559
1902-11-01,176.96106358994894
1902-12-01,55.879831575353165
1903-01-01,27.585986114719873
1903-02-01,32.28016304955227
1903-03-01,52.620366628433715
1903-04-01,124.8879254304371
1903-05-01,238.9905804022987
1903-06-01,661.519712211215
1903-07-01,709.3827325083925
1903-08-01,455.69901987260266
1903-09-01,270.95514511278236
1903-10-01,300.06253192119755
1903-11-01,172.6910844454495
1903-12-01,57.00922384389125
1904-01-01,27.806559635866705
1904-02-01,35.19324093524
1904-03-01,51.052686366635044
1904-04-01,126.31687643773952
1904-05-01,250.9809167237281
1904-06-01,677.239903177402
1904-07-01,722.8167118600282
1904-08-01,418.0823296572688
1904-09-01,249.95836089098404
1904-10-01,318.08232874849523
1904-11-01,184.48250711717833
1904-12-01,52.83157300078628
1905-01-01,26.22691065239863
1905-02-01,25.354395961528724
1905-03-01,51.24602113222764
1905-04-01,125.52899732940665
1905-05-01,246.61159490294045
1905-06-01,671.6532559708637
1905-07-01,717.7440531485461
1905-08-01,430.04805567743085
1905-09-01,256.75320376908223
1905-10-01,311.910211642502
1905-11-01,180.1044716590052
1905-12-01,53.69774077206995
1906-01-01,26.26911296024619
1906-02-01,28.20920438530797
1906-03-01,51.37431625131018
1906-04-01,124.6577135578026
1906-05-01,242.2187921418506
1906-06-01,666.0163423605106
1906-07-01,712.8696819280159
1906-08-01,442.196184437985
1906-09-01,263.3603474978409
1906-10-01,305.50630475145556
1906-11-01,175.77636332171153
1906-12-01,54.69513130564326
1907-01-01,26.401285843380492
1907-02-01,31.095462776817868
1907-03-01,51.43566635422687
1907-04-01,123.70322515476528
1907-05-01,237.80588012509978
1907-06-01,660.3350119325055
1907-07-01,708.1980322281788
1907-08-01,454.5143195908537
1907-09-01,269.77044482947923
1907-10-01,298.8778316364561
1907-11-01,171.50638415923632
1907-12-01,55.8245235561111
1908-01-01,26.62185934658021
1908-02-01,34.00854064440301
1908-03-01,49.86798607431925
1908-04-01,125.13217614397823
1908-05-01,249.79621642844768
1908-06-01,676.0552028161881
1908-07-01,721.6320114350725
1908-08-01,416.897629166401
1908-09-01,248.77366033421265
1908-10-01,316.8976281293507
1908-11-01,183.29780643379024
1908-12-01,51.6468722550087
1909-01-01,25.0422098422695
1909-02-01,24.169695087042385
1909-03-01,50.06132019956968
1909-04-01,124.3442963324058
1909-05-01,245.4268938435959
1909-06-01,670.4685548471783
1909-07-01,716.5593519625572
1909-08-01,428.86335442709117
1909-09-01,255.56850245431573
1909-10-01,310.7255102654907
1909-11-01,178.9197702176118
1909-12-01,52.51303926838489
1910-01-01,25.084411392169358
1910-02-01,27.02450275288996
1910-03-01,50.18961456073066
1910-04-01,123.47301180287093
1910-05-01,241.03409032455795
1910-06-01,664.8316404788845
1910-07-01,711.6849799840652
1910-08-01,441.01148242966036
1910-09-01,262.1756454251036
1910-10-01,304.321602616458
1910-11-01,174.59166112230423
1910-12-01,53.510429043961096
1911-01-01,25.216583517339473
1911-02-01,29.91076038635765
1911-03-01,50.25096390565312
1911-04-01,122.5185226418572
1911-05-01,236.62117754980957
1911-06-01,659.1503092928605
1911-07-01,707.0133295262508
1911-08-01,453.3296168245671
1911-09-01,268.58574199880763
1911-10-01,297.69312874340966
1911-11-01,170.32168120188922
1911-12-01,54.63982053643454
1912-01-01,25.43715626260456
1912-02-01,32.82383742072801
1912-03-01,48.68328271988673
1912-04-01,123.94747264988052
1912-05-01,248.6115127991013
1912-06-01,674.8704991115246
1912-07-01,720.4473076575033
1912-08-01,415.71292531337167
1912-09-01,247.58895640595424
1912-10-01,315.7129241281782
1912-11-01,182.11310235720154
1912-12-01,50.46216810555677
1913-01-01,23.85750561746306
1913-02-01,22.984990786857082
1913-03-01,48.876615831428296
1913-04-01,123.15959188886887
1913-05-01,244.2421893272404
1913-06-01,669.2838502553716
1913-07-01,715.3746472978829
1913-08-01,427.67864968704964
1913-09-01,254.3837976390004
1913-10-01,309.5408053771971
1913-11-01,177.7350652540178
1913-12-01,51.32833423188441
1914-01-01,23.899706280307043
1914-02-01,25.839797565715912
1914-03-01,49.00490930545257
1914-04-01,122.28830647227244
1914-05-01,239.84938492111303
1914-06-01,663.6469350000585
1914-07-01,710.500274432319
1914-08-01,439.8267768025944
1914-09-01,260.9909397226783
1914-10-01,303.1368968411473
1914-11-01,173.40695527167992
1914-12-01,52.32572312041083
1915-01-01,24.031877518449846
1915-02-01,28.726054312116418
1915-03-01,49.06625776334994
1915-04-01,121.33381642416734
1915-05-01,235.43647125927805
1915-06-01,657.965602926959
1915-07-01,705.8286230874617
1915-08-01,452.14491031039984
1915-09-01,267.4010354093708
1915-10-01,296.5084214223202
1915-11-01,169.13697312466172
1915-12-01,53.455111727668026
1916-01-01,24.252446697732154
1916-02-01,31.63912717514873
1916-03-01,47.498571837587235
1916-04-01,122.76276108684718
1916-05-01,247.42680057732042
1916-06-01,673.6857862090862
