,dtname
321,SHRAWASTI
322,SIDDHARTHNAGAR
323,SIDHI
324,SIKAR
325,SIMDEGA
326,SINGRAULI
327,SIRMAUR
328,SIROHI
329,SITAPUR
330,SOLAN
331,SONBHADRA
332,SOUTH
333,SOUTH DISTRICT
334,SOUTH ANDAMAN
335,SOUTH GARO HILLS
336,SOUTH GOA
337,SOUTH TRIPURA
338,SOUTH WEST
339,SONEPUR
340,SUKMA
341,SULTANPUR
342,SUNDARGARH
343,SURAJPUR
344,SURGUJA
345,TAPI
346,TEHRI GARHWAL
347,THIRUVANANTHAPURAM
348,THRISSUR
349,TIKAMGARH
350,TONK
351,TUMAKURU
352,UDAIPUR
353,BAKSA
354,UDHAM SINGH NAGAR
355,UDUPI
356,UJJAIN
357,UMARIA
358,UNA
359,UNNAO
360,UNOKOTI
361,UTTARA KANNADA
362,VADODARA
363,VARANASI
364,VIDISHA
365,VIJAYAPURA
366,WAYANAD
367,WEST DISTRICT
368,WEST
369,WEST GARO HILLS
370,WEST KHASI HILLS
371,WEST NIMAR
372,WEST TRIPURA
373,YADGIR
374,YANAM
375,BAUDH
376,LAWNGTLAI
377,SERCHHIP
378,KOLASIB
379,MAMIT
380,LUNGLEI
381,JORHAT
382,BARPETA
383,CHIRANG
384,BONGAIGAON
385,NALBARI
386,UDALGURI
387,KAMRUP METROPOLITAN
388,MORIGAON
389,DIMA HASAO
390,SONITPUR
391,DHEMAJI
392,SIVASAGAR
393,DIBRUGARH
394,GOLAGHAT
395,CACHAR
396,KARIMGANJ
397,HAILAKANDI
398,MIRPUR
399,MUZAFFARABAD
400,PUNCH
401,ANANTNAG
402,BARAMULA
403,KATHUA
404,UDHAMPUR
405,PRAYAGRAJ
406,RIBHOI
407,SOUTH EAST
408,SOUTH WEST KHASI HILLS
409,SOUTH WEST GARO HILLS
410,NORTH GARO HILLS
411,WEST JAINTIA HILLS
412,AIZAWL
413,DHUBRI
414,GOALPARA
415,BADGAM
416,BANDIPORE
417,GANDERBAL
418,KULGAM
419,KUPWARA
420,PULWAMA
421,RAJOURI
422,RAMBAN
423,REASI
424,SHUPIYAN
425,SRINAGAR
426,LEH
427,KARGIL
428,KISHTWAR
429,DODA
430,SAMBA
431,CHARAIDEO
432,BISWANATH
433,MAJULI
434,HOJAI
435,SOUTH SALMARA MANCACHAR
436,KARBI ANGLONG
437,WEST KARBI ANGLONG
438,IMPHAL EAST
439,JIRIBAM
440,NIWARI
441,AMRELI
442,DIU
443,PORBANDAR
444,RAJKOT
445,SURENDRANAGAR
446,BOTAD
447,KHEDA
448,MAHESANA
449,GANDHINAGAR
450,PATAN
451,ADILABAD
452,AHMADNAGAR
453,AKOLA
454,ALIPURDUAR
455,AMRAVATI
456,AMBALA
457,AMRITSAR
458,ANJAW
459,ARARIA
460,ARWAL
461,AURANGABAD
462,AURANGABAD
463,BANKA
464,BANKURA
465,PURBA BARDHAMAN
466,BARNALA
467,BATHINDA
468,BEGUSARAI
469,KAIMUR (BHABUA)
470,BHAGALPUR
471,BHANDARA
472,BHIWANI
473,BHOJPUR
474,BID
475,BIRBHUM
476,BULDANA
477,BUXAR
478,CHAMOLI
479,CHANDRAPUR
480,CHANGLANG
481,DAKSHIN DINAJPUR
482,DARBHANGA
483,DARJILING
484,DHULE
485,UPPER DIBANG VALLEY
486,PEREN
487,EAST KAMENG
488,PURBA MEDINIPUR
489,FARIDABAD
490,FARIDKOT
491,FATEHABAD
492,FATEHGARH SAHIB
493,FAZILKA
494,FIROZPUR
495,GADCHIROLI
496,GAYA
497,GONDIYA
498,GOPALGANJ
499,GURDASPUR
500,GURUGRAM
501,HOWRAH
502,HINGOLI
503,HISAR
504,HOSHIARPUR
505,HOOGHLY
