,0
2016-01,29.517892452287025
2016-02,55.19671994830264
2016-03,110.49645795230185
2016-04,231.99132946501044
2016-05,251.98321652893358
2016-06,466.9897955141166
2016-07,412.5629837117713
2016-08,428.3519532912627
2016-09,368.10306116001516
2016-10,95.42148639568879
2016-11,19.991831232363133
2016-12,12.135673529314882
2017-01,23.112343147551684
2017-02,52.34997693559219
2017-03,108.73909911335552
2017-04,229.3815152039774
2017-05,250.60705536376724
2017-06,462.54280936799597
2017-07,412.4004738309994
2017-08,423.97787610759264
2017-09,366.4396817083011
2017-10,94.36943634080899
2017-11,18.19893525284391
2017-12,10.277904927321032
2018-01,21.444034317330715
2018-02,50.74155466421711
2018-03,107.14900866496244
2018-04,227.77708033697425
2018-05,249.02337960515203
2018-06,460.9074598706995
2018-07,410.8372205820756
2018-08,422.3437534765306
2018-09,364.85117285071743
2018-10,92.7912145175733
2018-11,16.6082469795368
2018-12,8.686125021761187
2019-01,19.855442511634145
2019-02,49.153970588701334
2019-03,105.5617330648649
2019-04,226.18956335878073
2019-05,247.43621194708047
2019-06,459.31942268218575
2019-07,409.25039658007256
2019-08,420.75573693288527
2019-09,363.26392386455166
2019-10,91.20413863460763
2019-11,15.020961319649293
2019-12,7.098820992630426
2020-01,18.268192129674162
2020-02,47.56673716413774
2020-03,103.97450483111531
2020-04,224.60233106328513
2020-05,245.84898552970571
2020-06,457.7321816329456
2020-07,407.6631759455079
2020-08,419.1684962310429
2020-09,361.67669607864326
2020-10,89.61691376156183
2020-11,13.433732916620437
2020-12,5.51159228049648
