ds,yhat
1901-01-01,8.576683433754702
1901-02-01,3.2930016684016934
1901-03-01,6.63819448980513
1901-04-01,18.545380247368975
1901-05-01,48.92766260373631
1901-06-01,63.186292040299435
1901-07-01,95.20066629286407
1901-08-01,105.35060095947341
1901-09-01,130.11964021193614
1901-10-01,134.08805805253394
1901-11-01,100.65262789410318
1901-12-01,32.59128309894194
1902-01-01,8.419001354094448
1902-02-01,3.8784447131939572
1902-03-01,6.496733809020668
1902-04-01,18.02472424955569
1902-05-01,48.940779837026696
1902-06-01,63.23124068782122
1902-07-01,93.84540270614984
1902-08-01,106.4680298252074
1902-09-01,130.2142415493756
1902-10-01,133.42084030561585
1902-11-01,101.4566066068875
1902-12-01,32.808596138650515
1903-01-01,8.273238480645617
1903-02-01,4.4680685916668
1903-03-01,6.344627847699755
1903-04-01,17.507471504377214
1903-05-01,48.95469247777755
1903-06-01,63.26728117119138
1903-07-01,92.50297238853221
1903-08-01,107.60328856109842
1903-09-01,130.28468808479425
1903-10-01,132.74808551075003
1903-11-01,102.26150599284182
1903-12-01,33.029681238940185
1904-01-01,8.139545468946153
1904-02-01,5.061244320986653
1904-03-01,6.788404200202244
1904-04-01,19.088552897155772
1904-05-01,48.9349650518406
1904-06-01,63.15190868003246
1904-07-01,96.58727769423786
1904-08-01,104.27166555510877
1904-09-01,130.02078187524322
1904-10-01,134.76845555204366
1904-11-01,99.86912292260851
1904-12-01,32.39697469132244
1905-01-01,8.596151824408395
1905-02-01,3.3124700643637723
1905-03-01,6.657662890559465
1905-04-01,18.56484865343807
1905-05-01,48.9471310149423
1905-06-01,63.2057604568107
1905-07-01,95.22013471451586
1905-08-01,105.37006938642631
1905-09-01,130.13910864420112
1905-10-01,134.10752648992843
1905-11-01,100.67209633681296
1905-12-01,32.61075154677895
1906-01-01,8.43846980724831
1906-02-01,3.8979131716500177
1906-03-01,6.516202272275656
1906-04-01,18.044192718102053
1906-05-01,48.9602483107264
1906-06-01,63.25070916683023
1906-07-01,93.86487119029991
1906-08-01,106.4874983146668
1906-09-01,130.2337100441379
1906-10-01,133.44030880551867
1906-11-01,101.47607511209124
1906-12-01,32.828064648997106
1907-01-01,8.292706996281929
1907-02-01,4.487537112638137
1907-03-01,6.364096373453414
1907-04-01,17.526940035445598
1907-05-01,48.974161013973244
1907-06-01,63.286749712702246
1907-07-01,92.52244093517055
1907-08-01,107.62275711305003
1907-09-01,130.30415664205526
1907-10-01,132.76755407315403
1907-11-01,102.28097456057058
1907-12-01,33.049149811782044
1908-01-01,8.159014047104435
1908-02-01,5.0807129044433665
1908-03-01,6.807872788626028
1908-04-01,19.108021490898317
1908-05-01,48.95443365070828
1908-06-01,63.17137728715228
1908-07-01,96.6067463093491
1908-08-01,104.29113417846281
1908-09-01,130.0402505068475
1908-10-01,134.78792418648368
1908-11-01,99.88859156001165
1908-12-01,32.416443331559535
1909-01-01,8.615620467589657
1909-02-01,3.331938710482852
1909-03-01,6.67713153933763
1909-04-01,18.584317305163516
1909-05-01,48.96659966950594
1909-06-01,63.22522911431894
1909-07-01,95.23960337487412
1909-08-01,105.38953804972294
1909-09-01,130.15857731043798
1909-10-01,134.12699515901747
1909-11-01,100.69156500884748
1909-12-01,32.63022022165303
1910-01-01,8.45793848506306
1910-02-01,3.9173818524169377
1910-03-01,6.535670955689831
1910-04-01,18.063661404462387
1910-05-01,48.979716999929295
1910-06-01,63.270177858972175
1910-07-01,93.88433988528504
1910-08-01,106.50696701259729
1910-09-01,130.25317874500885
1910-10-01,133.4597775092389
1910-11-01,101.49554381874583
1910-12-01,32.847533358500854
1911-01-01,8.31217570873465
1911-02-01,4.507005828024781
1911-03-01,6.383565091501168
1911-04-01,17.546408756440165
1911-05-01,48.99362973780937
1911-06-01,63.306218439472474
1911-07-01,92.5419096648001
1911-08-01,107.64222584561486
1911-09-01,130.32362537756072
1911-10-01,132.7870228114934
1911-11-01,102.30044330186053
1911-12-01,33.068618555916935
1912-01-01,8.17848279419119
1912-02-01,5.10018164563342
1912-03-01,6.827341524293111
1912-04-01,19.127490220672094
1912-05-01,48.97390237478052
1912-06-01,63.19084600237231
1912-07-01,96.62621501602118
1912-08-01,104.31060287628176
1912-09-01,130.05971919583612
1912-10-01,134.80739286692108
1912-11-01,99.90806023159729
1912-12-01,32.43591199459864
1913-01-01,8.635089121785285
1913-02-01,3.351407355838788
1913-03-01,6.696600176716437
1913-04-01,18.60378593369454
1913-05-01,48.98606828948978
1913-06-01,63.24469772546021
1913-07-01,95.25907197745721
1913-08-01,105.40900664346839
1913-09-01,130.1780458953463
1913-10-01,134.14646373536527
1913-11-01,100.71103357635613
1913-12-01,32.6496887806205
1914-01-01,8.477407035181685
1914-02-01,3.936850393695252
1914-03-01,6.555139488981979
1914-04-01,18.08312992892246
1914-05-01,48.99918551583242
1914-06-01,63.28964636603537
1914-07-01,93.9038083837966
1914-08-01,106.5264355022685
1914-09-01,130.27264722583877
1914-10-01,133.47924598151695
1914-11-01,101.51501228218713
1914-12-01,32.86700181338246
1915-01-01,8.331644154779184
1915-02-01,4.526474265230277
1915-03-01,6.403033520717145
1915-04-01,17.565877176812414
1915-05-01,49.01309814963935
1915-06-01,63.32568684245882
1915-07-01,92.56137805923072
1915-08-01,107.66169423120347
1915-09-01,130.34309375431505
1915-10-01,132.80649117869365
1915-11-01,102.31991165917239
1915-12-01,33.08808690369216
1916-01-01,8.197951132080405
1916-02-01,5.119649982488461
1916-03-01,6.846809860186525
1916-04-01,19.146958555526737
1916-05-01,48.99337070863287
