,0
1380,-7.090102864135247
1381,-7.65277875578488
1382,-7.47985831836715
1383,-7.140313331930997
1384,-4.726935899800807
1385,112.15236523199582
1386,330.4291213137543
1387,263.3436155550127
1388,147.60783503568797
1389,9.937692270327865
1390,-2.142793126485458
1391,-7.373091628084964
1392,-7.090102864135247
1393,-7.65277875578488
1394,-7.47985831836715
1395,-7.140313331930997
1396,-4.726935899800807
1397,112.15236523199582
1398,330.4291213137543
1399,263.3436155550127
1400,147.60783503568797
1401,9.937692270327865
1402,-2.142793126485458
1403,-7.373091628084964
1404,-7.090102864135247
1405,-7.65277875578488
1406,-7.47985831836715
1407,-7.140313331930997
1408,-4.726935899800807
1409,112.15236523199582
1410,330.4291213137543
1411,263.3436155550127
1412,147.60783503568797
1413,9.937692270327865
1414,-2.142793126485458
1415,-7.373091628084964
1416,-7.090102864135247
1417,-7.65277875578488
1418,-7.47985831836715
1419,-7.140313331930997
1420,-4.726935899800807
1421,112.15236523199582
1422,330.4291213137543
1423,263.3436155550127
1424,147.60783503568797
1425,9.937692270327865
1426,-2.142793126485458
1427,-7.373091628084964
1428,-7.090102864135247
1429,-7.65277875578488
1430,-7.47985831836715
1431,-7.140313331930997
1432,-4.726935899800807
1433,112.15236523199582
1434,330.4291213137543
1435,263.3436155550127
1436,147.60783503568797
1437,9.937692270327865
1438,-2.142793126485458
1439,-7.373091628084964
