ds,yhat
1901-01-01,63.63651717057323
1901-02-01,65.36484321310246
1901-03-01,54.581098080365834
1901-04-01,34.53593118001787
1901-05-01,54.096541869273295
1901-06-01,168.12089574610349
1901-07-01,397.8976431739195
1901-08-01,376.93196071887184
1901-09-01,192.83458658237484
1901-10-01,40.25241390600321
1901-11-01,8.080361431049553
1901-12-01,24.724999246513022
1902-01-01,57.55054335800344
1902-02-01,64.5451618522493
1902-03-01,61.091572052669854
1902-04-01,37.16974640897375
1902-05-01,58.13357919062889
1902-06-01,158.91709793083078
1902-07-01,385.1366252515319
1902-08-01,388.14454693805646
1902-09-01,200.9026044507288
1902-10-01,39.7728522944612
1902-11-01,10.15748329856045
1902-12-01,21.392274587091592
1903-01-01,51.52400677868637
1903-02-01,63.92464244233758
1903-03-01,67.64902460147113
1903-04-01,39.72839251259087
1903-05-01,61.94444755544308
1903-06-01,149.52551663143134
1903-07-01,372.63725528693897
1903-08-01,399.6443101794931
1903-09-01,208.89373556309795
1903-10-01,39.18582705705175
1903-11-01,12.131270567663933
1903-12-01,17.95339644102961
1904-01-01,45.565553243471754
1904-02-01,63.50506052112041
1904-03-01,49.08454681172704
1904-04-01,32.79130093721143
1904-05-01,50.79442419729071
1904-06-01,178.08343093280124
1904-07-01,411.865046446695
1904-08-01,366.9746798148349
1904-09-01,185.65803211237647
1904-10-01,41.58361501554073
1904-11-01,6.859013075736058
1904-12-01,28.903894732469496
1905-01-01,64.59469492416281
1905-02-01,66.32302073596227
1905-03-01,55.539275394883575
1905-04-01,35.49410826369562
1905-05-01,55.05471872974336
1905-06-01,169.0790723758177
1905-07-01,398.8558195803622
1905-08-01,377.8901368945419
1905-09-01,193.79276252731756
1905-10-01,41.21058962758103
1905-11-01,9.038536921964237
1905-12-01,25.683174514062756
1906-01-01,58.508718394906424
1906-02-01,65.50333665837513
1906-03-01,62.049746650379404
1906-04-01,38.12792077583825
1906-05-01,59.09175333429475
1906-06-01,159.87527184368986
1906-07-01,386.09479894127725
1906-08-01,389.102720397034
1906-09-01,201.8607776790425
1906-10-01,40.73102529937067
1906-11-01,11.11565607269334
1906-12-01,22.35044713797538
1907-01-01,52.48217909877572
1907-02-01,64.88281453184626
1907-03-01,68.60719648237881
1907-04-01,40.68656416292585
1907-05-01,62.90261898238653
1907-06-01,150.48368782768782
1907-07-01,373.59542625979253
1907-08-01,400.60248092168683
1907-09-01,209.85190607454751
1907-10-01,40.1439973452747
1907-11-01,13.08944062519899
1907-12-01,18.91156627519554
1908-01-01,46.52372284693803
1908-02-01,64.46322989373135
1908-03-01,50.04271596840681
1908-04-01,33.7494698633064
1908-05-01,51.752592900063604
1908-06-01,179.04159920063495
1908-07-01,412.8232142937933
1908-08-01,367.9328472269036
1908-09-01,186.6161990895941
1908-10-01,42.541781795129964
1908-11-01,7.8171796512242935
1908-12-01,29.86206111029182
1909-01-01,65.55286109787511
1909-02-01,67.28118670543283
1909-03-01,56.49744117994804
1909-04-01,36.45227384468156
1909-05-01,56.0128841130427
1909-06-01,170.0372375550101
1909-07-01,399.8139845619338
1909-08-01,378.848301671953
1909-09-01,194.7509271005352
1909-10-01,42.1687540032123
1909-11-01,9.996701093490628
1909-12-01,26.641338488010774
1910-01-01,59.46688216458716
1910-02-01,66.46150022402908
1910-03-01,63.007910031602385
1910-04-01,39.08608395286663
1910-05-01,60.04991631371489
1910-06-01,160.833434618983
1910-07-01,387.05296151885034
1910-08-01,390.0608827705293
1910-09-01,202.81893984831407
1910-10-01,41.68918727109761
1910-11-01,12.073817840209514
1910-12-01,23.30860870793994
1911-01-01,53.440340464566845
1911-02-01,65.8409756934284
1911-03-01,69.56535745957505
1911-04-01,41.64472493593959
1911-05-01,63.86077955784279
1911-06-01,151.44184819894528
1911-07-01,374.5535864335708
1911-08-01,401.56064089119513
1911-09-01,210.810065839912
1911-10-01,41.102156913022256
1911-11-01,14.04759998877924
1911-12-01,19.86972544115875
1912-01-01,47.4818818088073
1912-02-01,65.42138712541775
1912-03-01,51.00087158152952
1912-04-01,34.70762374624536
1912-05-01,52.71074510865735
1912-06-01,179.9997498831955
1912-07-01,413.7813634995041
1912-08-01,368.89099490654837
1912-09-01,187.57434524328653
1912-10-01,43.49992647201523
1912-11-01,8.775322802038005
1912-12-01,30.820202784317246
1913-01-01,66.51100124588413
1913-02-01,68.23932532743893
1913-03-01,57.455578423683264
1913-04-01,37.41040956227454
1913-05-01,56.971018353917415
1913-06-01,170.9953702697869
1913-07-01,400.77211580001295
1913-08-01,379.8064313839603
1913-09-01,195.70905528661524
1913-10-01,43.12688071246974
1913-11-01,10.954826276664477
1913-12-01,27.599462194400985
1914-01-01,60.425004345052116
1914-02-01,67.41962087838039
1914-03-01,63.96602930756281
1914-04-01,40.044201702905895
1914-05-01,61.00803258693466
1914-06-01,161.79154936618752
1914-07-01,388.0110747892918
1914-08-01,391.0189945149252
1914-09-01,203.77705006669015
1914-10-01,42.647296012698206
1914-11-01,13.031925055809623
1914-12-01,24.26671444675175
1915-01-01,54.398444677322956
1915-02-01,66.79907838019125
1915-03-01,70.52345876801296
1915-04-01,42.602824718309705
1915-05-01,64.81887786344262
1915-06-01,152.39994497848613
1915-07-01,375.51168173632055
1915-08-01,402.518734667941
1915-09-01,211.76815809066377
1915-10-01,42.051922438368436
1915-11-01,14.988761231231578
1915-12-01,20.802559958353413
1916-01-01,48.40611204305401
1916-02-01,66.33701460282984
1916-03-01,51.908451318626675
1916-04-01,35.606600726499295
1916-05-01,53.60139684035087
1916-06-01,180.88179885804774
