,0
2016-01,21.42706501490119
2016-02,11.485596996239103
2016-03,17.844442051556726
2016-04,44.8009741740255
2016-05,69.22939889366668
2016-06,50.612892964854346
2016-07,68.97617688944034
2016-08,93.86397729848926
2016-09,109.62178111274677
2016-10,180.3160371411612
2016-11,179.96745207887653
2016-12,81.12748764451717
2017-01,22.04513356891914
2017-02,11.668093113203808
2017-03,17.726366567449606
2017-04,43.289323217193434
2017-05,68.20035776558178
2017-06,50.31103028698658
2017-07,69.53773168187872
2017-08,94.11939578874139
2017-09,109.85305115714327
2017-10,181.39290571853994
2017-11,175.30843936557986
2017-12,79.43803644185606
2018-01,22.030707858431764
2018-02,11.643574871620775
2018-03,17.694883862617214
2018-04,43.225550352111746
2018-05,68.14776732227283
2018-06,50.275289098810845
2018-07,69.52199650631148
2018-08,94.0965672117408
2018-09,109.82966304303709
2018-10,181.3891107392664
2018-11,175.17173983275194
2018-12,79.37014381538181
2019-01,22.001626794461693
2019-02,11.614259956343197
2019-03,17.665407575645908
2019-04,43.19532587857335
2019-05,68.11780195360394
2019-06,50.24571413967412
2019-07,69.49288510108032
2019-08,94.06729144722414
2019-09,109.80037431363752
2019-10,181.36027599709314
2019-11,175.13982559512536
2019-12,79.33982388396677
2020-01,21.972206155261045
2020-02,11.584833898637175
2020-03,17.63597777884003
2020-04,43.165878745738944
2020-05,68.08836082441837
2020-06,50.21628205656219
2020-07,69.46346375885052
2020-08,94.0378662966698
2020-09,109.7709488626774
2020-10,181.33086106534824
2020-11,175.11033930922443
2020-12,79.31037453930374
