,0
2016-01,0.04119826803871263
2016-02,15.93532827196047
2016-03,50.340843110855864
2016-04,166.64215422111124
2016-05,257.56492231323466
2016-06,401.139357949447
2016-07,416.56595411833166
2016-08,380.8211641555836
2016-09,286.8806020955783
2016-10,147.90227074292383
2016-11,21.972554871640597
2016-12,-5.854033006160883
2017-01,-6.340946043537793
2017-02,15.103247702577978
2017-03,54.55505994805691
2017-04,152.11260161996606
2017-05,266.93310392841624
2017-06,419.98361739673794
2017-07,416.74621094583614
2017-08,388.1323736977728
2017-09,291.6371486979386
2017-10,152.36835922588347
2017-11,24.620718254198778
2017-12,-8.747439275514573
2018-01,-7.68721345065992
2018-02,14.663527981592157
2018-03,54.939602672451805
2018-04,149.4355362290901
2018-05,268.15949548610826
2018-06,422.7578319205173
2018-07,416.4718464684364
2018-08,389.0227793475225
2018-09,292.11027559177865
2018-10,152.79404267784415
2018-11,24.749461741044307
2018-12,-9.52385601708477
2019-01,-8.210920463057036
2019-02,14.287896507751126
2019-03,54.69860626235628
2019-04,148.69445661603746
2019-05,268.0560067011268
2019-06,422.9071646062626
2019-07,416.123224127288
2019-08,388.8644106096972
2019-09,291.88374852378024
2019-10,152.55976619598184
2019-11,24.466683072341013
2019-12,-9.954483596939601
2020-01,-8.60027042473698
2020-02,13.922733210991288
2020-03,54.35543426277532
2020-04,148.2696010042945
2020-05,267.7352952030239
2020-06,422.62774897820475
2020-07,415.76247250343914
2020-08,388.5347350177054
2020-09,291.542939947168
2020-10,152.21769182977138
2020-11,24.116686356818494
2020-12,-10.328629960052112
