,0
2016-01,10.042824233035589
2016-02,15.649959367805035
2016-03,15.969049545754988
2016-04,29.542373641480296
2016-05,65.21442916301974
2016-06,127.12315402983944
2016-07,176.36687030299936
2016-08,178.77186451182234
2016-09,184.56626959694407
2016-10,187.77163065142187
2016-11,80.69782342031516
2016-12,14.163831388590017
2017-01,10.32024481877222
2017-02,15.76277522906286
2017-03,16.060257740530556
2017-04,29.58014240168263
2017-05,65.38892060888081
2017-06,126.53963181585837
2017-07,176.65943830517296
2017-08,178.76736855999167
2017-09,184.54560518570844
2017-10,188.33748681489539
2017-11,80.74469540617493
2017-12,14.261829322032934
2018-01,10.370263624365181
2018-02,15.812129612800355
2018-03,16.109524905593727
2018-04,29.62919386012871
2018-05,65.43852394419905
2018-06,126.58617545259303
2018-07,176.70951825284166
2018-08,178.816249418241
2018-09,184.5944207804738
2018-10,188.38866988173513
2018-11,80.79378360950851
2018-12,14.311123893665263
2019-01,10.41936452973884
2019-02,15.861227836255837
2019-03,16.15862277699374
2019-04,29.678290860835666
2019-05,65.48762317253986
2019-06,126.63526233055556
2019-07,176.7586194050134
2019-08,178.86534573032554
2019-09,184.64351682912428
2019-10,188.43777548661305
2019-11,80.84288075853502
2019-12,14.360221875691002
2020-01,10.468461730036733
2020-02,15.91032502572825
2020-03,16.207719965045094
2020-04,29.727388045372493
2020-05,65.53672036606847
2020-06,126.68435947423225
2020-07,176.8077166063075
2020-08,178.91444291208276
2020-09,184.6926140098182
2020-10,188.48687270588036
2020-11,80.89197794367057
2020-12,14.409319064188923
