,0
2016-01,68.59730839974209
2016-02,97.68969597724066
2016-03,97.96981846625374
2016-04,55.29065186528699
2016-05,50.32443133865364
2016-06,93.42064253290229
2016-07,232.61652195645053
2016-08,232.80443656872444
2016-09,110.66557296601076
2016-10,17.74772705044738
2016-11,10.995382287790846
2016-12,28.108078273830603
2017-01,68.75001749439596
2017-02,95.37554277040577
2017-03,94.3920381150795
2017-04,53.93687251567237
2017-05,50.169229027154934
2017-06,93.34420659520819
2017-07,231.68530836914442
2017-08,233.73308995639707
2017-09,111.53454406873493
2017-10,17.41136409150649
2017-11,10.537093794125505
2017-12,27.876754375152185
2018-01,68.41725778641866
2018-02,94.95811405534434
2018-03,93.93123849294693
2018-04,53.552406281277406
2018-05,49.825901014244465
2018-06,93.0035820451775
2018-07,231.31534566966528
2018-08,233.42696263596764
2018-09,111.22636830003819
2018-10,17.06181818304006
2018-11,10.183363090278723
2018-12,27.530813675185662
2019-01,68.0678355507171
2019-02,94.60578576333138
2019-03,93.57742160076533
2019-04,53.20120934568729
2019-05,49.47611604735815
2019-06,92.65388986803367
2019-07,230.96464653239155
2019-08,233.07845449174513
2019-09,110.87778984784565
2019-10,16.71181980211656
2019-11,9.833221076502479
2019-12,27.180939034214667
2020-01,67.71784141455836
2020-02,94.25569188390679
2020-03,93.22727662878557
2020-04,52.851154297301186
2020-05,49.126109461339844
2020-06,92.30388646679603
2020-07,230.61460856971357
2020-08,232.72849172953784
2020-09,110.52782467248946
2020-10,16.36180589118413
2020-11,9.483202235724137
2020-12,26.83092937035306
