,0
2016-01,12.86037422264291
2016-02,14.40752882849879
2016-03,19.260639988277
2016-04,25.65601962564363
2016-05,30.478489110702927
2016-06,153.2557169574361
2016-07,245.8940893715723
2016-08,217.69249513213964
2016-09,179.82722989543507
2016-10,76.65217445472655
2016-11,24.49652324581973
2016-12,10.17943560881553
2017-01,13.241839416259383
2017-02,15.211707610584195
2017-03,18.237180629245298
2017-04,23.86198068136594
2017-05,30.911070849871308
2017-06,147.99101854742437
2017-07,252.66017840369855
2017-08,220.48342907160432
2017-09,180.93640489203307
2017-10,79.6251076058632
2017-11,25.73156602795582
2017-12,10.673355270424185
2018-01,13.353907602412832
2018-02,15.343708421725855
2018-03,18.283001041471955
2018-04,23.871465204907505
2018-05,31.02554938421552
2018-06,147.8368476894514
2018-07,253.073306967695
2018-08,220.70911328109347
2018-09,181.08278748633128
2018-10,79.85937380120131
2018-11,25.883883788370447
2018-12,10.79072613148534
2019-01,13.453272649445124
2019-02,15.444013371211625
2019-03,18.37924224278457
2019-04,23.965993024718955
2019-05,31.125028088740464
2019-06,147.92365850787934
2019-07,253.18686820754922
2019-08,220.81383577498244
2019-09,181.18377059402667
2019-10,79.96450096981626
2019-11,25.985146762726536
2019-12,10.890341220705215
2020-01,13.552038693002794
2020-02,15.542823734903877
2020-03,18.47786098460662
2020-04,24.064530973796565
2020-05,31.223799491700436
2020-06,148.02183256968482
2020-07,253.28630365799492
2020-08,220.91285444344263
2020-09,181.28261293557256
2020-10,80.06353872029743
2020-11,26.084002301097325
2020-12,10.98911905474536
