,0
2016-01,4.7772612002206145
2016-02,18.962812398185314
2016-03,65.76556384856929
2016-04,192.54538564055923
2016-05,329.1947365136372
2016-06,499.56175594441584
2016-07,477.23267748656485
2016-08,398.2054878033153
2016-09,297.79030939963286
2016-10,137.4276558975667
2016-11,14.577989034724894
2016-12,-2.8518534911062208
2017-01,4.41001260847475
2017-02,18.85948713337395
2017-03,66.40306149024076
2017-04,190.59743938915506
2017-05,328.88990465459807
2017-06,497.5963895135541
2017-07,482.31356172561743
2017-08,392.2477609926256
2017-09,298.1181235211068
2017-10,139.4549373370964
2017-11,14.389064592329504
2017-12,-3.596841931221004
2018-01,4.192874690166113
2018-02,18.65022680501612
2018-03,66.21591326220852
2018-04,190.33312076824004
2018-05,328.6746297524617
2018-06,497.3315509346943
2018-07,482.25903980998294
2018-08,391.8637583429978
2018-09,297.9217318517503
2018-10,139.30927141003
2018-11,14.177249297614727
2018-12,-3.82525463781036
2019-01,3.9802172789286536
2019-02,18.437804524277187
2019-03,66.00415098398369
2019-04,190.11905510623123
2019-05,328.46202794857686
2019-06,497.117469752968
2019-07,482.05123616519126
2019-08,391.6461203491578
2019-09,297.7096936750616
2019-10,139.09874729654433
2019-11,13.964750756177231
2019-12,-4.038248579205518
2020-01,3.767693601976498
2020-02,18.225287865505926
2020-03,65.79165402498371
2020-04,189.90648939577545
2020-05,328.2495059313943
2020-06,496.90490357927933
2020-07,481.8388573635793
2020-08,391.4334480116536
2020-09,297.4971884810374
2020-10,138.8862872943159
2020-11,13.752231821174766
2020-12,-4.250782300918113
